snapshot,bids_price,asks_price,timestamps,simple_mid_price,mid_price,spread,imbalance
105,76809.64,76809.65,18:13:52,76809.64499999999,76809.64410628965,0.00999999999476131,0.1562235845164125
106,76809.64,76809.65,18:13:56,76809.64499999999,76809.64477090658,0.00999999999476131,0.19710870877707176
107,76809.64,76809.65,18:14:01,76809.64499999999,76809.64640204892,0.00999999999476131,0.26212801797839086
108,76809.64,76809.65,18:14:07,76809.64499999999,76809.64359895709,0.00999999999476131,0.10275843510507737
109,76809.64,76809.65,18:14:11,76809.64499999999,76809.64504863169,0.00999999999476131,0.18659312737352118
110,76809.64,76809.65,18:14:16,76809.64499999999,76809.64844990673,0.00999999999476131,0.3892584699296064
111,76809.64,76809.65,18:14:22,76809.64499999999,76809.64852335812,0.00999999999476131,0.47155919073030433
112,76809.64,76809.65,18:14:26,76809.64499999999,76809.64570720521,0.00999999999476131,0.3036935856477815
113,76809.64,76809.65,18:14:32,76809.64499999999,76809.64867581637,0.00999999999476131,0.5129215873881191
114,76809.64,76809.65,18:14:36,76809.64499999999,76809.64443690614,0.00999999999476131,0.28201522409706736
115,76805.2,76805.21,18:14:41,76805.205,76805.20483088156,0.010000000009313226,0.0196414800587834
116,76805.2,76805.21,18:14:46,76805.205,76805.20448874487,0.010000000009313226,0.011362025709892707
117,76805.2,76805.21,18:14:51,76805.205,76805.2046877621,0.010000000009313226,0.07054329986710359
118,76805.2,76805.21,18:14:56,76805.205,76805.20477933034,0.010000000009313226,0.07456809155334064
119,76805.2,76805.21,18:15:02,76805.205,76805.2067968681,0.010000000009313226,0.1987481864477746
120,76805.2,76805.21,18:15:06,76805.205,76805.20592316533,0.010000000009313226,0.16208341398221104
121,76805.2,76805.21,18:15:12,76805.205,76805.20566600647,0.010000000009313226,0.13747543384156907
122,76805.2,76805.21,18:15:17,76805.205,76805.20447543517,0.010000000009313226,0.05766054179348895
123,76805.2,76805.21,18:15:21,76805.205,76805.20576666317,0.010000000009313226,0.15220549793918453
124,76805.2,76805.21,18:15:27,76805.205,76805.2047751709,0.010000000009313226,0.10187540128146833
125,76803.36,76803.37,18:15:32,76803.36499999999,76803.3649314475,0.00999999999476131,0.0913651698999644
126,76803.36,76803.37,18:15:36,76803.36499999999,76803.36582087738,0.00999999999476131,0.1518583395747048
127,76801.53,76801.54,18:15:42,76801.535,76801.53116157833,0.00999999999476131,-0.4329112468808525
128,76801.53,76801.54,18:15:47,76801.535,76801.5324772136,0.00999999999476131,-0.3218717485876817
129,76800.32,76800.33,18:15:52,76800.32500000001,76800.32055270685,0.00999999999476131,-0.32124246471501305
130,76796.98,76796.99,18:15:56,76796.985,76796.98076293948,0.010000000009313226,-0.379206350598829
131,76795.45,76795.46,18:16:01,76795.455,76795.45386945341,0.010000000009313226,-0.0887841477838518
132,76795.45,76795.46,18:16:07,76795.455,76795.45340188354,0.010000000009313226,-0.137087296871459
133,76795.45,76795.46,18:16:11,76795.455,76795.45354365029,0.010000000009313226,-0.12110179062689187
134,76795.45,76795.46,18:16:17,76795.455,76795.45620097396,0.010000000009313226,0.07354250894912884
135,76803.36,76803.37,18:16:22,76803.36499999999,76803.36697507197,0.00999999999476131,0.24437466073188838
136,76803.36,76803.37,18:16:27,76803.36499999999,76803.36791136488,0.00999999999476131,0.35598582317143285
137,76803.36,76803.37,18:16:32,76803.36499999999,76803.36820769447,0.00999999999476131,0.3803722362524904
138,76803.36,76803.37,18:16:36,76803.36499999999,76803.36218401433,0.00999999999476131,-0.36560806975650173
139,76799.71,76799.72,18:16:42,76799.715,76799.71249191539,0.00999999999476131,-0.2902103990154613
140,76799.71,76799.72,18:16:47,76799.715,76799.71217410569,0.00999999999476131,-0.3028207431742427
141,76780.54,76780.55,18:16:52,76780.545,76780.54203493884,0.010000000009313226,-0.4423244709486411
142,76780.54,76780.55,18:16:57,76780.545,76780.54306317822,0.010000000009313226,-0.44533738886121293
143,76771.38,76771.39,18:17:02,76771.38500000001,76771.38018004989,0.00999999999476131,-0.43372705182053967
144,76771.38,76771.39,18:17:07,76771.38500000001,76771.38595018788,0.00999999999476131,0.01965628566424406
145,76771.38,76771.39,18:17:12,76771.38500000001,76771.38914216126,0.00999999999476131,0.29038272915041674
146,76771.38,76771.39,18:17:17,76771.38500000001,76771.38929599679,0.00999999999476131,0.3321722519153777
147,76771.38,76771.39,18:17:22,76771.38500000001,76771.38669643672,0.00999999999476131,-0.025447642529359767
148,76771.38,76771.39,18:17:27,76771.38500000001,76771.3890265847,0.00999999999476131,0.21658435012163832
149,76771.38,76771.39,18:17:32,76771.38500000001,76771.38889311532,0.00999999999476131,0.06863585161184152
150,76773.4,76773.41,18:17:37,76773.405,76773.4093357128,0.010000000009313226,0.5702432648583885
151,76773.4,76773.41,18:17:42,76773.405,76773.400426889,0.010000000009313226,-0.4362737180041634
152,76773.4,76773.41,18:17:48,76773.405,76773.40903103919,0.010000000009313226,0.1683370909292409
153,76773.4,76773.41,18:17:52,76773.405,76773.40908142003,0.010000000009313226,0.2635912425478622
154,76773.4,76773.41,18:17:57,76773.405,76773.40730499604,0.010000000009313226,0.17953507534329088
155,76773.4,76773.41,18:18:02,76773.405,76773.40734179411,0.010000000009313226,0.11182410021055326
156,76773.4,76773.41,18:18:07,76773.405,76773.40401283401,0.010000000009313226,-0.26539484414020675
157,76773.4,76773.41,18:18:12,76773.405,76773.40457312956,0.010000000009313226,-0.17987777019291268
158,76773.4,76773.41,18:18:17,76773.405,76773.403630498,0.010000000009313226,-0.2784790707491562
159,76773.4,76773.41,18:18:22,76773.405,76773.40331564355,0.010000000009313226,-0.29065276658150535
160,76773.4,76773.41,18:18:27,76773.405,76773.4035450125,0.010000000009313226,-0.2925843178992746
161,76773.4,76773.41,18:18:32,76773.405,76773.40352503919,0.010000000009313226,-0.27725945944225344
162,76773.4,76773.41,18:18:37,76773.405,76773.40438518774,0.010000000009313226,-0.21674357790325097
163,76773.4,76773.41,18:18:42,76773.405,76773.40905169396,0.010000000009313226,0.17329198739274349
164,76773.4,76773.41,18:18:47,76773.405,76773.40359125205,0.010000000009313226,-0.25926820289149727
165,76773.4,76773.41,18:18:52,76773.405,76773.40342889355,0.010000000009313226,-0.26622530119800725
166,76773.4,76773.41,18:18:57,76773.405,76773.404418889,0.010000000009313226,-0.22940566937545354
167,76773.4,76773.41,18:19:02,76773.405,76773.40450331713,0.010000000009313226,-0.24360679095714846
168,76761.6,76761.61,18:19:07,76761.60500000001,76761.6000014781,0.00999999999476131,-0.7127695677405609
169,76761.6,76761.61,18:19:12,76761.60500000001,76761.60215144583,0.00999999999476131,-0.5454228515550723
170,76761.6,76761.61,18:19:17,76761.60500000001,76761.60127681357,0.00999999999476131,-0.6340565731082641
171,76761.6,76761.61,18:19:22,76761.60500000001,76761.60624437015,0.00999999999476131,-0.021264122912417024
172,76761.6,76761.61,18:19:27,76761.60500000001,76761.60920727134,0.00999999999476131,0.16296305714952422
173,76761.6,76761.61,18:19:32,76761.60500000001,76761.60897161538,0.00999999999476131,0.1615092020623448
174,76777.97,76777.98,18:19:37,76777.975,76777.97345074295,0.00999999999476131,0.0850130994304512
175,76777.97,76777.98,18:19:42,76777.975,76777.97527296295,0.00999999999476131,-0.03562931300401016
176,76781.41,76781.42,18:19:47,76781.41500000001,76781.41918384051,0.00999999999476131,0.3315541472519218
177,76781.41,76781.42,18:19:52,76781.41500000001,76781.4197185747,0.00999999999476131,0.34449058627641854
178,76785.51,76785.52,18:19:57,76785.515,76785.51999787615,0.010000000009313226,0.5391093114256744
179,76790.68,76790.69,18:20:02,76790.685,76790.68967296845,0.010000000009313226,0.6463464995425623
180,76788.71,76788.72,18:20:07,76788.715,76788.71219273326,0.00999999999476131,-0.3527506880997064
181,76774.82,76774.83,18:20:12,76774.82500000001,76774.82209395255,0.00999999999476131,-0.504081174860216
182,76760.94,76760.95,18:20:17,76760.945,76760.94143184721,0.00999999999476131,-0.6381492251899101
183,76760.94,76760.95,18:20:22,76760.945,76760.9435262924,0.00999999999476131,-0.2999408624736787
184,76760.94,76760.95,18:20:27,76760.945,76760.94355511393,0.00999999999476131,-0.2964486750707488
185,76760.94,76760.95,18:20:32,76760.945,76760.94337002696,0.00999999999476131,-0.3110774474531339
186,76760.94,76760.95,18:20:37,76760.945,76760.94336250224,0.00999999999476131,-0.3168310358919408
187,76760.94,76760.95,18:20:42,76760.945,76760.94238716584,0.00999999999476131,-0.3880688909783871
188,76760.09,76760.1,18:20:47,76760.095,76760.09140013847,0.010000000009313226,-0.5144506295937699
189,76752.41,76752.42,18:20:52,76752.41500000001,76752.41403556177,0.00999999999476131,-0.2907827674625532
190,76752.41,76752.42,18:20:57,76752.41500000001,76752.41383605053,0.00999999999476131,-0.32570472638188724
191,76760.84,76760.85,18:21:02,76760.845,76760.8458444114,0.010000000009313226,0.24493853841252983
192,76760.84,76760.85,18:21:07,76760.845,76760.84660826714,0.010000000009313226,0.14514869286416296
193,76760.84,76760.85,18:21:12,76760.845,76760.84567545951,0.010000000009313226,0.12286107846482447
194,76760.84,76760.85,18:21:17,76760.845,76760.84624324241,0.010000000009313226,0.15362638129390174
195,76760.84,76760.85,18:21:22,76760.845,76760.84609924867,0.010000000009313226,0.15023524372139302
196,76760.84,76760.85,18:21:27,76760.845,76760.8457982114,0.010000000009313226,0.26257522354802537
197,76760.84,76760.85,18:21:32,76760.845,76760.84658919009,0.010000000009313226,0.3497068210888547
198,76760.84,76760.85,18:21:37,76760.845,76760.8467800239,0.010000000009313226,0.1846348962225005
199,76760.84,76760.85,18:21:42,76760.845,76760.84752795176,0.010000000009313226,0.4400691140276529
200,76760.84,76760.85,18:21:47,76760.845,76760.84984943515,0.010000000009313226,0.563922921544171
201,76767.72,76767.73,18:21:52,76767.725,76767.72951997514,0.00999999999476131,0.5307647427102345
202,76771.14,76771.15,18:21:57,76771.14499999999,76771.14285729872,0.00999999999476131,-0.18709234557805632
203,76767.72,76767.73,18:22:02,76767.725,76767.72248985957,0.00999999999476131,-0.24204226741527024
204,76767.72,76767.73,18:22:07,76767.725,76767.72231636103,0.00999999999476131,-0.1846692288483037
205,76767.72,76767.73,18:22:12,76767.725,76767.72289943788,0.00999999999476131,-0.05373954998464019
206,76767.72,76767.73,18:22:17,76767.725,76767.72271450129,0.00999999999476131,-0.014889317044074554
207,76767.72,76767.73,18:22:22,76767.725,76767.72445605916,0.00999999999476131,0.12952108084966543
208,76764.22,76764.23,18:22:27,76764.225,76764.22124769272,0.00999999999476131,-0.524542006729298
209,76764.22,76764.23,18:22:32,76764.225,76764.22726955569,0.00999999999476131,0.055663300960628326
210,76764.22,76764.23,18:22:37,76764.225,76764.22492685185,0.00999999999476131,-0.2243621568352805
211,76764.22,76764.23,18:22:42,76764.225,76764.22334517459,0.00999999999476131,-0.36409868429195646
212,76764.22,76764.23,18:22:47,76764.225,76764.22292069976,0.00999999999476131,-0.3877550810308869
213,76760.77,76760.78,18:22:52,76760.775,76760.77218002357,0.00999999999476131,-0.35022629401885935
214,76760.77,76760.78,18:22:57,76760.775,76760.77462834332,0.00999999999476131,-0.16384215317363895
215,76767.72,76767.73,18:23:02,76767.725,76767.7299275712,0.00999999999476131,0.6144357008157777
216,76767.72,76767.73,18:23:07,76767.725,76767.72972419765,0.00999999999476131,0.4822833997390655
217,76781.23,76781.24,18:23:12,76781.235,76781.23940255718,0.010000000009313226,0.5143131813697691
218,76806.54,76806.55,18:23:17,76806.545,76806.54881343816,0.010000000009313226,0.2857155067522017
219,76800.99,76801.0,18:23:22,76800.995,76800.99150671723,0.00999999999476131,-0.34381953896576073
220,76800.99,76801.0,18:23:27,76800.995,76800.99201320628,0.00999999999476131,-0.3349896022075054
221,76800.99,76801.0,18:23:32,76800.995,76800.99252270222,0.00999999999476131,-0.32368463070497605
222,76800.99,76801.0,18:23:37,76800.995,76800.99262345477,0.00999999999476131,-0.33532405028939094
223,76800.99,76801.0,18:23:42,76800.995,76800.99400731706,0.00999999999476131,-0.24451464555672664
224,76800.99,76801.0,18:23:48,76800.995,76800.9931284177,0.00999999999476131,-0.3097323153397141
225,76800.99,76801.0,18:23:52,76800.995,76800.99465146985,0.00999999999476131,-0.22369132010991324
226,76800.99,76801.0,18:23:58,76800.995,76800.99546622238,0.00999999999476131,-0.16694603844591493
227,76800.99,76801.0,18:24:03,76800.995,76800.99428913073,0.00999999999476131,-0.19648724897807052
228,76800.99,76801.0,18:24:08,76800.995,76800.99355602059,0.00999999999476131,-0.20882028608784817
229,76800.99,76801.0,18:24:13,76800.995,76800.99329296013,0.00999999999476131,-0.22908339744174025
230,76805.18,76805.19,18:24:17,76805.185,76805.18818634095,0.010000000009313226,0.4098676428529114
231,76805.18,76805.19,18:24:22,76805.185,76805.18691471443,0.010000000009313226,0.18698378746500702
232,76805.18,76805.19,18:24:28,76805.185,76805.18592634138,0.010000000009313226,0.07137370522410282
233,76805.18,76805.19,18:24:32,76805.185,76805.18535218925,0.010000000009313226,0.04091462431094675
234,76805.18,76805.19,18:24:37,76805.185,76805.18560199981,0.010000000009313226,0.04665211483787902
235,76805.18,76805.19,18:24:42,76805.185,76805.18465323273,0.010000000009313226,0.001648673487865026
