snapshot,timestamp,mid_price,spread,imbalance
3613,2026-05-21 19:14:30,77318.39999109287,0.00999999999476131,-0.9954672223112677
3614,2026-05-21 19:14:35,77315.35600297467,0.00999999999476131,-0.19785800150909608
3615,2026-05-21 19:14:40,77315.3566235725,0.00999999999476131,-0.32136068709908205
3616,2026-05-21 19:14:45,77310.68903316923,0.010000000009313226,-0.806637438651337
3617,2026-05-21 19:14:50,77310.68741062141,0.010000000009313226,-0.48635607931987557
3618,2026-05-21 19:14:55,77310.68509149872,0.010000000009313226,-0.02759003405531501
3619,2026-05-21 19:15:00,77310.68737816194,0.010000000009313226,-0.4721465797035994
3620,2026-05-21 19:15:05,77310.6847362848,0.010000000009313226,0.04017143787043732
3621,2026-05-21 19:15:10,77310.68460908177,0.010000000009313226,0.06589566603174861
3622,2026-05-21 19:15:16,77324.77864633418,0.00999999999476131,-0.6190163722314386
3623,2026-05-21 19:15:20,77324.77593539137,0.00999999999476131,-0.12161876529118658
3624,2026-05-21 19:15:25,77324.77616956068,0.00999999999476131,-0.16927219070261024
3625,2026-05-21 19:15:30,77324.77336001005,0.00999999999476131,0.36879252531171663
3626,2026-05-21 19:15:35,77324.77302098647,0.00999999999476131,0.4269379235460413
3627,2026-05-21 19:15:40,77334.00412449698,0.00999999999476131,0.17785554535970616
3628,2026-05-21 19:15:45,77334.00163833742,0.00999999999476131,0.6747590601354042
3629,2026-05-21 19:15:50,77334.00031676186,0.00999999999476131,0.9362789011905821
3630,2026-05-21 19:15:55,77345.69057630519,0.00999999999476131,0.8839500604216388
3631,2026-05-21 19:16:01,77345.69096641082,0.00999999999476131,0.8055807859619165
3632,2026-05-21 19:16:05,77345.69002004234,0.00999999999476131,0.9953223311300392
3633,2026-05-21 19:16:10,77353.94025410459,0.00999999999476131,0.946908491869148
3634,2026-05-21 19:16:15,77353.94148353933,0.00999999999476131,0.7004096713333499
3635,2026-05-21 19:16:20,77353.9400345709,0.00999999999476131,0.989117146927708
3636,2026-05-21 19:16:25,77353.94015026512,0.00999999999476131,0.9677986225453488
3637,2026-05-21 19:16:30,77353.94015336211,0.00999999999476131,0.966336004467671
3638,2026-05-21 19:16:35,77348.75823237574,0.00999999999476131,-0.7016766971953247
3639,2026-05-21 19:16:40,77347.41809130523,0.00999999999476131,-0.6285285840722843
3640,2026-05-21 19:16:46,77345.14772674485,0.00999999999476131,-0.5487101235038863
3641,2026-05-21 19:16:50,77345.14508841782,0.00999999999476131,-0.03074805925037887
3642,2026-05-21 19:16:55,77345.14538128472,0.00999999999476131,-0.08932749678274766
3643,2026-05-21 19:17:00,77345.14570644926,0.00999999999476131,-0.15184984493353476
3644,2026-05-21 19:17:05,77353.91081078454,0.00999999999476131,0.8354541233447552
3645,2026-05-21 19:17:10,77353.91180363481,0.00999999999476131,0.6361450860986393
3646,2026-05-21 19:17:15,77353.91174628225,0.00999999999476131,0.647568335108271
3647,2026-05-21 19:17:20,77353.91397175149,0.00999999999476131,0.20149433855867668
3648,2026-05-21 19:17:26,77370.61195710347,0.00999999999476131,0.6314507273169095
3649,2026-05-21 19:17:30,77370.61083238972,0.00999999999476131,0.8419466726619977
3650,2026-05-21 19:17:35,77370.61231964761,0.00999999999476131,0.5566271943371645
3651,2026-05-21 19:17:40,77370.61843063775,0.00999999999476131,-0.6889166632330251
3652,2026-05-21 19:17:45,77370.6167434087,0.00999999999476131,-0.3532203414908413
3653,2026-05-21 19:17:51,77370.61529253647,0.00999999999476131,-0.062122086790149945
